Date,Open,High,Low,Close,Volume,Turnover
2009-03-31,2981.7,3054.3,2966.4,3020.95,341399212,90225200000.0
2010-03-31,5260.4,5293.9,5235.15,5249.1,147618695,65421800000.0
2011-03-31,5803.05,5872.0,5778.65,5833.75,219441114,117412500000.0
2012-03-30,5206.6,5307.1,5203.65,5295.55,164790056,60829300000.0
2013-03-28,5647.75,5692.95,5604.85,5682.55,209658945,83723500000.0
2014-03-31,6723.15,6730.05,6662.4,6704.2,177579421,77433000000.0
2015-03-31,8527.6,8550.45,8454.15,8491.0,177059509,81083600000.0
2016-03-31,7727.65,7777.6,7702.0,7738.4,391914059,159187400000.0
2017-03-31,9158.9,9191.7,9152.1,9173.75,196771674,109550500000.0
2018-03-28,10143.6,10158.35,10096.9,10113.7,354977198,188074800000.0
2019-03-29,11625.45,11630.35,11570.15,11623.9,416276981,205152500000.0
2020-03-31,8529.35,8678.3,8358.0,8597.75,713390935,274013000000.0
