Date,P/E,P/B,Div Yield,Open,High,Low,Close,Volume,Turnover,Earnings
2011-03-31,18.13,2.55,1.15,9351.75,9509.65,9351.75,9480.65,40989462,15666900000.0,522.9260893546608
2012-03-30,14.48,1.89,1.61,7396.0,7575.7,7391.75,7557.2,29831930,8190200000.0,521.9060773480662
2013-03-28,11.54,1.7,1.7,7539.75,7585.75,7449.0,7551.5,44993860,12142800000.0,654.3760831889082
2014-03-31,12.72,1.73,1.94,8343.15,8427.75,8245.25,8329.45,42781679,10316199999.999998,654.8309748427673
2015-03-31,12.05,1.55,2.1,8232.95,8339.75,8217.1,8264.25,38210734,11645400000.0,685.8298755186721
2016-03-31,11.61,1.51,1.8,8426.15,8503.55,8385.65,8424.6,73081447,20681000000.0,725.6330749354006
2017-03-31,13.12,1.88,1.44,11386.75,11724.1,11384.55,11648.7,50002700,25433300000.0,887.8582317073171
2018-03-28,14.54,1.86,2.15,13296.9,13297.2,13184.5,13214.15,81642746,23812800000.000004,908.8136176066025
2019-03-29,13.89,1.8,2.59,16495.55,16605.9,16455.15,16484.0,153561018,35383500000.0,1186.7530597552195
2020-03-31,8.65,1.07,4.62,10689.0,11176.4,10556.15,11124.15,195836193,41564600000.0,1286.028901734104
